BertSumm summary specificity,T5 summary specificity,BertSumm summary ari,BertSumm summary perplexity,BertSumm Sentence length,T5 summary ari,T5 summary perplexity,T5 Sentence length
0.5061663899653127,0.5292542935840017,14.4,2.0748144953977135,25,16.7,2.9966245223112837,23
0.9552106926498768,0.8120119162399172,22.0,2.485599796134182,33,18.7,3.0362664065871963,26
0.9991215914015271,0.9662043423164021,22.7,2.998323610980735,45,15.4,3.1159972154867988,26
0.996486823700818,0.9170345884628407,21.4,2.8788857474376814,41,14.4,2.4365161461324716,11
0.8492080823909478,0.7631755504019611,19.3,1.9914348511000557,29,19.0,2.17431214206223,24
0.8689410367376496,0.5209099170085651,19.7,2.1121348243787064,32,20.2,2.780896244457419,25
0.9738841298897808,0.9212400494395955,21.1,2.160168666620959,37,19.5,2.309718920753971,30
0.9381422357713072,0.9268788089232254,21.3,2.3850141509164446,41,20.9,2.7209490498173943,39
0.7153322525576415,0.16750381236388823,14.7,2.4761710264224086,27,12.4,3.791023812865915,15
0.23716126389189485,0.9613382042266448,11.2,2.6262941594837557,23,16.9,2.9243146774232867,31
0.5661759083943213,0.5478792302592244,15.3,2.61162590016975,20,15.7,3.4862515333944484,16
0.9978344252759156,0.6337880827590565,26.4,2.3443956605845324,45,18.7,2.3325404175535214,22
0.7815220747765275,0.47933740267087716,18.6,1.7318670703657277,26,17.1,1.9746984239216556,20
0.17065201004353375,0.7820296297976752,10.2,3.1119209277781943,12,16.5,2.381468953164543,33
0.8220719151988104,0.21558192100583184,19.9,2.834951898608445,32,15.1,3.1700215294110805,25
0.31622732755167454,0.2313679886634531,15.8,2.6760520026975056,27,15.1,2.677842248804577,25
0.4512929536265268,0.5085770860076404,14.7,2.07788349641829,22,14.9,2.3524856794708997,25
0.7981738858783377,0.6723535989381291,16.5,2.413369883311757,30,15.9,3.0879997198812665,26
0.982241433125621,0.9127169340129143,22.7,1.9919319048579804,36,20.7,2.247364879396352,29
0.9050722886010681,0.85167421773286,20.0,2.4970138743833563,25,19.4,2.6094170139997384,21
0.9992581388773718,0.9928201095850361,27.4,2.961535909538669,49,25.1,3.2759638437102194,40
0.9980686168576318,0.9443575413638735,24.5,3.1896989321263636,47,19.5,3.776456494776038,26
0.9998674134483928,0.98042766537174,30.0,2.275842793336498,61,19.9,2.772753077235592,36
0.9986159639183086,0.907873136558908,24.3,2.8894323697780857,45,17.6,3.843983116799321,28
0.9421547073718323,0.83415106995374,17.1,2.800989289513239,24,17.5,3.979054660548217,20
0.9987015938940115,0.9059456070283001,22.1,2.7255991859289246,45,18.2,3.631615606538983,29
0.9879352251352421,0.7816375390712582,20.3,2.3156950451623435,40,16.8,2.2497411282953284,26
0.9914165078869527,0.9643343524869685,25.2,2.2205929510222604,43,22.8,2.4678409955290093,34
0.9955236692117473,0.9509188274452252,28.3,2.1430983923429086,48,21.8,2.635105007607633,28
0.9683892008904674,0.2858443139397107,19.3,1.915396128918893,41,14.4,2.431043297188554,27
0.9976037506490703,0.8625954200854906,22.5,2.624607989718972,47,14.9,2.747706669526252,21
0.9789775004260722,0.9575372127613345,23.5,2.321785855036809,37,22.4,2.4337734687170482,32
0.997513681017203,0.7915677099498502,20.5,3.2685923926364095,44,12.5,3.604136451119586,22
0.9987811382104267,0.9928367101133423,29.4,2.8726831036331024,53,24.1,2.7441226404133148,40
0.9100018764444678,0.607342601535144,15.9,2.9519525735660768,35,12.6,2.665429523649285,20
0.9976350230820321,0.9661266537821502,23.4,2.844592806748898,46,20.3,3.554451476898822,35
0.9922593524858712,0.9298964584120223,22.9,2.2754415736370373,41,16.1,2.826681780497733,24
0.9998384063401342,0.9903473376720974,29.0,2.786530630319445,62,22.1,3.4862585984922716,43
0.9890868799146721,0.7135007960314073,20.9,2.2560524304435137,32,18.2,2.330031854478897,21
0.9941353954721052,0.6903713241776477,17.6,2.4412876201945397,33,12.8,2.4677943669223965,19
0.868735830226027,0.6290030250176152,18.5,2.564690752014449,26,15.8,3.3690858681826628,20
0.8539754202598131,0.018425894677764232,13.5,2.7108207559584656,29,5.9,3.3563671359131955,12
0.9822129990175414,0.8780371631559639,22.6,2.2374368160702853,28,14.8,3.2394477887743216,13
0.9958610839236225,0.9622091193018776,18.7,2.667758014635851,37,17.8,2.6588660374895143,29
0.9987454948072426,0.9968726266318789,24.8,2.19147951390128,48,21.9,2.204446859804378,43
0.6036942304758424,0.5293011170340276,18.8,1.9709380422722202,34,17.9,2.128131266720574,30
0.9998897317234925,0.9951537376537253,34.6,2.5994537957357835,65,24.4,3.0968328106339427,43
0.9978733296909114,0.9744922537635311,22.3,3.204766505571352,43,19.9,3.6970348940716202,34
0.9967429758059348,0.9555464226123049,24.8,2.3536085412620404,48,16.1,3.0332127134756823,29
0.04385894714469191,0.13063543119490495,11.6,2.6190342128777697,18,13.1,2.422255151463086,18
0.9711616067927823,0.2505305487127431,21.4,2.7216659851633858,35,14.2,2.321629480483154,18
0.6777324887838287,0.4172190234608532,15.5,2.912978443487714,26,14.6,3.8486737561793873,22
0.4595975271750691,0.33474996128338275,18.5,2.2154484859616668,20,18.1,2.4628267810568145,17
